sid,fid,old_total_energies,new_total_energies,old_ads_energies,new_ads_energies,old_forces_max,new_forces_mean,forces_mae,total_energy_conv_errors,ref_energy_conv_errors,old_slab_energies,new_slab_energies,cat_class,bulk_symbols,ads_symbols,abs_ads_energy_conv_errors
random1346014,79,-119.67511796,-119.69898767,-0.7160471999999913,1.43260453500001,0.75849798,0.0295718220764018,0.0088296401587301,-0.0238697099999996,2.1486517350000014,-108.2778523,-110.48133951,3,Pt2Cl4,*OH,2.1486517350000014
random2126062,14,-1125.87183904,-1125.95304433,6.988219099999924,7.089951479999854,1.24280179,0.0270349427992928,0.0061103604347826,-0.08120529000007082,0.10173237999993034,-1087.87782905,-1088.14564996,1,Ge6Ta10,*NO2NO2,0.10173237999993034
random1425153,110,-241.96212996,-241.94543066,-5.26543510999997,-5.158543629999997,0.19132687,0.0257958690866971,0.0139256471212121,0.016699299999999084,0.10689147999997317,-192.13559423,-192.13211448,0,Hf3Sn6,*OHNNCH3,0.10689147999997317
random1814929,102,-367.74756149,-367.82304301,0.614160639999966,0.7332065200000102,1.30749608,0.0328199597267911,0.0133845163461538,-0.07548151999998254,0.11904588000004424,-323.80062151,-323.90147698,2,Sr6P12,*OHNNCH3,0.11904588000004424
random1364387,37,-734.28465823,-734.44955648,-0.8785029599999916,-0.7415274299999055,0.58898792,0.0040816634378262,0.0092059546417445,-0.16489824999996472,0.1369755300000861,-674.60886734,-674.80775309,1,As4Pd8,*ONN(CH3)2,0.1369755300000861
random1729725,144,-235.97004333,-236.02527736,1.3079067500000008,1.4140177849999986,0.08247273,0.012158647876543,0.0180025151388888,-0.05523402999997984,0.10611103499999786,-210.43030469,-210.52256228,0,Zr3Ga,*NONH,0.10611103499999786
random2017678,51,-176.57220948,-176.52713938,-1.5642149800000027,-1.2875118450000116,0.48612719,0.0143403329293397,0.0100722006944444,0.04507010000000378,0.2767031349999911,-142.80893726,-143.08344057,2,Cs4P28,*CCH2OH,0.2767031349999911
random1595921,103,-292.22253545,-292.22268055,2.594895899999983,2.720803639999985,0.58731151,0.0463215888730346,0.0082699084761904,-0.0001450999999974556,0.12590774000000193,-264.49251804,-264.53421505,0,Ga4Zr4,*ONNH2,0.12590774000000193
random646108,131,-509.74410738,-509.56911099,2.972949229999984,3.073104834999981,0.24544138,0.0026684573726126,0.007526346594982,0.1749963899999898,0.1001556049999972,-485.86941122,-485.72548296,2,Ni19Se20,*NONH,0.1001556049999972
random1446326,173,-214.5631645,-214.67115958,3.8157659400000057,3.9201001950000034,0.55198384,0.0022492073173713,0.0126972794573643,-0.10799507999999491,0.10433425499999771,-191.53128505,-191.67452691,2,Cd2As2P2,*NONH,0.10433425499999771
random1897730,117,-274.65634555,-274.63879124,-5.400275589999978,-5.263314890000004,0.24076789,0.0300688318228776,0.022250975,0.01755431000003682,0.13696069999997462,-210.45878203,-210.47520039,0,Zr10Sn7,*ONN(CH3)2,0.13696069999997462
random1588580,238,-336.06804105,-335.7458181,-3.004688359999932,-2.8943265999999994,0.04285554,0.0143871454009691,0.0130631051388888,0.3222229499999685,0.11036175999993247,-274.26606476,-273.95121554,0,Zr2Cu6,*ONN(CH3)2,0.11036175999993247
random499239,126,-442.52059094,-442.17880348,1.9807892599999943,2.1152452849999577,0.04785641,0.0020861415663715,0.0060452666666666,0.3417874599999777,0.13445602499996334,-417.65373481,-417.3773159,1,NaCu3Te2,*NONH,0.13445602499996334
random650144,85,-341.13810915,-341.38604343,1.8646102399999904,1.9834445100000264,0.20731298,0.0097809101999435,0.0117531971969696,-0.2479342799999813,0.11883427000003599,-312.67780608,-312.9602188,2,N4Sr4,*ONNH2,0.11883427000003599
random570954,193,-244.75997653,-244.58511448,7.566542980000008,7.686634480000009,0.11886559,0.0142231984676929,0.0251620933333333,0.17486205000000155,0.1200915000000009,-207.34429042,-207.37440311,0,Pd4Sn4,*NO2NO2,0.1200915000000009
random1425202,598,-152.06099673,-152.0649735,2.0035702700000115,2.112222720000005,0.11632135,0.0019679278904723,0.0200186105555555,-0.0039767700000084005,0.10865244999999346,-123.73965369,-123.76792708,0,Cs4Sn2Au7,*ONNH2,0.10865244999999346
random1408890,8,-807.99737118,-807.77438317,9.869977100000028,10.048156489999997,1.11174458,0.0192690575574237,0.0060653309427609,0.22298800999999457,0.1781793899999684,-772.88511919,-772.92519381,1,Mn6Al8Si4,*NO2NO2,0.1781793899999684
random690802,139,-547.92981217,-547.45674412,4.580982459999973,4.741489649999949,0.1694981,0.0097838126163788,0.007143167345679,0.473068049999938,0.1605071899999757,-507.52856554,-507.30088792,0,Fe,*NO2NO2,0.1605071899999757
random754225,48,-118.97182353,-118.93146049,2.9660379100000114,3.0684061949999943,0.85644167,0.0399131822951506,0.0396446198148148,0.04036303999998836,0.10236828499998296,-102.29416659,-102.24085024,1,CuTe2,*N*NH,0.10236828499998296
random2109267,73,-598.66857287,-598.47752797,-5.300095769999984,-5.147355249999919,0.15155002,0.012487731339302,0.0066105244632768,0.19104490000006535,0.15274052000006577,-534.57118917,-534.42989676,0,Nb6Ni7,*ONN(CH3)2,0.15274052000006577
random2092806,50,-399.66309329,-399.73210782,-0.0905930399999874,0.0136623099999724,0.29483473,0.0228676661858972,0.0109974748148148,-0.06901453000000402,0.10425534999995979,-376.45153748,-376.49421741,1,Si2Co2Y,*NHNH,0.10425534999995979
random2240805,74,-778.50977713,-778.43971376,4.529633760000024,4.651074599999902,1.55778038,0.0279300684084948,0.0042455512254901,0.0700633699999571,0.12144083999987743,-738.0571818,-738.19344251,1,Hf4Si4,*NO2NO2,0.12144083999987743
random829113,187,-986.45639086,-986.52397055,-3.4704479700000093,-3.363668539999935,0.05717931,0.0028257430904454,0.0061868080666666,-0.06757968999988861,0.10677943000007417,-938.42484227,-938.50552946,1,V10Si6,*OHNNCH3,0.10677943000007417
random1524561,150,-412.87747996,-413.06724637,2.6044253099999537,2.713519785000017,0.26367521,0.0117850214231828,0.0360047022222222,-0.18976641000000427,0.10909447500006308,-388.62006054,-388.86403329,2,Cu2Ge4N6,*NONH,0.10909447500006308
random1974852,145,-193.68743574,-193.67871197,2.734778609999978,2.8425786450000032,0.28783073,0.0018977629506171,0.0156582741975308,0.008723770000017339,0.10780003500002522,-169.57456896,-169.60455775,0,In3,*NONH,0.10780003500002522
random2139297,136,-520.60180807,-520.47174774,7.407068460000005,7.523076030000084,0.49820123,0.003366567549734,0.005994640767386,0.13006032999999206,0.11600757000007889,-483.02664744,-483.09747792,0,Ga22,*NO2NO2,0.11600757000007889
random687521,19,-71.52649379,-71.48671008,6.889098064999999,6.991581315000005,3.86489314,0.0713221463717957,0.0165888315277777,0.03978371000000891,0.10248325000000591,-55.92447731,-56.02961847,1,Cd2Te2,*NO2,0.10248325000000591
random1063565,93,-387.85169999,-387.79835192,-3.939724539999986,-3.80718158000002,0.35945292,0.0057971642743709,0.0089370949404761,0.053348069999969994,0.13254295999996613,-339.35087483,-339.33639779,2,N4Ca12As4,*OHNNCH3,0.13254295999996613
random1176262,130,-654.11346289,-654.19984791,-3.2524543900000253,-3.1304014699999243,0.1728435,0.0126644527188519,0.0082774915196078,-0.08638501999996606,0.12205292000010104,-592.06372057,-592.16917048,1,As4Y4Pt4,*ONN(CH3)2,0.12205292000010104
random2087316,161,-263.23711705,-263.22189603,3.291390120000017,3.397618795000028,0.09441583,0.0028552380017061,0.0076663730729166,0.015221020000012686,0.10622867500001121,-239.68086178,-239.70278196,0,In2Au6,*NONH,0.10622867500001121
random1965273,32,-280.45209832,-280.04342836,6.194073899999978,6.30514261999997,1.22220577,0.0208149696286028,0.0147504103703703,0.40866995999999745,0.11106871999999157,-241.66394313,-241.45122513,0,ScNi5,*NO2NO2,0.11106871999999157
random918512,155,-107.42157524,-107.40352838,1.451654380000008,1.5530511200000063,0.12785193,0.01998212115485,0.0108196816666666,0.018046859999998333,0.10139673999999843,-78.54831631,-78.54731036,0,Ga4,*ONNH2,0.10139673999999843
random2145649,113,-671.8571775,-672.0518176,2.352905869999858,2.454705739999895,0.27298396,0.0062957250924251,0.0058188340566037,-0.19464010000001508,0.10179987000003665,-643.88517006,-644.0972542,2,P28Sr6,*ONNH2,0.10179987000003665
random1025089,353,-479.0532792,-479.03610155,3.4566825449999783,3.5746498149999866,0.06930861,0.0021190221414457,0.0155064046874999,0.017177650000007816,0.11796727000000828,-460.0188472,-460.16207844,2,Ga4S4,*NO2,0.11796727000000828
random730206,65,-720.80968969,-720.79499827,0.4695084399999132,0.5812143950000745,0.23036728,0.0031444250131898,0.00734367390625,0.014691420000076505,0.11170595500016134,-701.63550328,-701.61719622,1,Si2Fe6Zr4,*N*NH,0.11170595500016134
random579434,94,-398.38020897,-398.46070721,-1.5897006199999737,-1.4431765600000404,0.13605024,0.0036728413327498,0.0148108821666666,-0.08049823999999717,0.14652405999993334,-337.99322042,-338.11725469,2,Se2Pd8,*ONN(CH3)2,0.14652405999993334
random2205848,265,-445.56513682,-445.62656623,0.3959915499999624,0.496648050000033,0.13818383,0.001937432399657,0.0125931477314814,-0.061429409999959717,0.10065650000007059,-401.40002775,-401.46844173,0,Na2Pt4,*OHNNCH3,0.10065650000007059
random663727,28,-241.9189911,-241.93275554,2.206830919999988,2.325227490000003,1.69024081,0.0355695774857401,0.0196756501481481,-0.013764439999988554,0.11839657000001536,-199.5647214,-199.60321048,1,Ca10Sb6,*OHNNCH3,0.11839657000001536
random452680,329,-382.4169598,-382.34185568,-1.9956976299999385,-1.8876418400000148,0.23846365,0.0071569222051865,0.0124176410752688,0.07510411999999178,0.10805578999992371,-321.62397424,-321.55393788,2,Tl2Ni3S2,*ONN(CH3)2,0.10805578999992371
random1580126,224,-387.74287437,-387.51244257,0.8208971899999824,0.985123349999924,0.05111603,0.0062867171173649,0.0074603609895833,0.23043179999996255,0.1642261599999416,-343.58154247,-343.60022007,0,Al12Mn2,*NO2NO2,0.1642261599999416
random1369756,192,-393.30162265,-393.28845677,-0.8007797500000038,-0.6992362699999717,0.07105102,0.0076924368484593,0.0099256242361111,0.013165880000030938,0.1015434800000321,-369.37988013,-369.33766778,0,Sc2CuRh,*NHNH,0.1015434800000321
random868146,86,-90.26887552,-90.1162513,-0.0177674499999938,0.0923690799999832,0.06690929,0.0191033184895321,0.0165839347222222,0.15262421999999276,0.110136529999977,-47.37083237,-47.40218072,0,CsAu,*OCH2CHOH,0.110136529999977
random1269953,211,-1682.57018178,-1683.35329807,-1.851858429999993,-1.6024989299999106,0.06360802,0.0038423374551846,0.0151415429516539,-0.7831162899999526,0.24935950000008233,-1621.92103542,-1622.85052318,2,Fe3Mo5N8,*ONN(CH3)2,0.24935950000008233
random2145655,20,-197.57648565,-197.57696975,-6.578755399999977,-6.432136479999997,1.26628331,0.1188980563272797,0.0154960801666666,-0.00048409999999421416,0.14661891999998033,-132.20044232,-132.24455731,0,Sc6Hg2,*ONN(CH3)2,0.14661891999998033
random589985,169,-688.45859679,-688.51825736,-3.9547462199999472,-3.8309276399999135,0.06042787,0.0018368613148832,0.0192083877380952,-0.059660570000005464,0.12381858000003376,-625.70656264,-625.78705376,0,Hf2Pt3,*ONN(CH3)2,0.12381858000003376
random1314499,123,-280.43393336,-280.39579549,4.191144409999993,4.320355849999999,0.45749272,0.0077283557266473,0.0147494981060606,0.03813787000001412,0.12921144000000684,-261.22688733,-261.29195475,2,S4Ge4,*N*NO,0.12921144000000684
random1834347,210,-675.15833331,-675.18102773,-1.8394001099999289,-1.7192143699999178,0.04001977,0.0078972250673298,0.0097081665416666,-0.022694419999993443,0.12018574000001103,-614.52164527,-614.5615374,1,Fe2Co2Si4,*ONN(CH3)2,0.12018574000001103
random326402,78,-175.8056129,-175.79167935,-1.723395499999981,-1.6105188699999928,0.22492473,0.0100760604970395,0.0253960946666666,0.013933549999990191,0.11287662999998815,-115.28492947,-115.28088452,0,Ga,*ONN(CH3)2,0.11287662999998815
random1595159,241,-394.87379442,-394.9592788,-1.4595849400000134,-1.351001549999978,0.13813755,0.0057124610368568,0.0088614779629629,-0.0854843799999685,0.10858339000003547,-334.61692155,-334.70800129,2,S6Ge2Ag4,*ONN(CH3)2,0.10858339000003547
random1019593,59,-582.45646754,-582.50224532,0.1976360500000282,0.3147069799998689,1.95295328,0.0143119975907525,0.013334883560606,-0.045777780000094026,0.1170709299998407,-537.6718745,-537.91960645,0,Zr20Re10,*NO2NO2,0.1170709299998407
random681964,188,-163.4615186,-163.42630333,3.1831411799999785,3.305544850000018,0.09668204,0.010582264253214,0.0169792212820512,0.035215270000009014,0.12240367000003971,-143.27428231,-143.30765159,2,PIn,*N*NO,0.12240367000003971
random2348338,192,-135.17923789,-135.16884778,-1.6918116199999815,-1.5623860599999944,0.30696779,0.0140118371229984,0.0317055685507246,0.010390110000003006,0.12942555999998717,-88.92632565,-88.95168917,1,K5Sb4,*OHNNCH3,0.12942555999998717
random849300,17,-250.83016417,-250.74882657,-0.1045002099999976,-0.0033761050000009,1.7639741,0.0433623037241301,0.00630345375,0.08133759999998347,0.10112410499999669,-211.32265618,-211.43154708,3,K4Pb2Cl12,*COHCHOH,0.10112410499999669
random498095,125,-327.64416876,-327.65213551,-0.0484833699999853,0.0970095299999798,0.24790651,0.0231918737038538,0.0089161238541666,-0.007966749999980038,0.14549289999996512,-268.79839746,-268.84886908,1,Te10Ir5,*ONN(CH3)2,0.14549289999996512
random873508,95,-389.02585624,-389.12293532,-3.2230888900000423,-3.117765255000052,0.21050273,0.0067469995931788,0.0058469636538461,-0.09707908000001453,0.1053236349999902,-366.1590725,-366.24615362,1,Sc20Sb12,*N*NH,0.1053236349999902
random1624939,162,-559.05219586,-559.01238882,-6.463722200000007,-6.301798819999931,0.20088641,0.0112295251227766,0.0094822684722222,0.03980704000002788,0.16192338000007656,-493.79118573,-493.81031404,0,Ti2,*ONN(CH3)2,0.16192338000007656
random830633,18,-135.95992562,-135.96210367,4.145995599999992,4.255968644999996,0.43242937,0.0160443096572131,0.0057766753703703,-0.002178049999997711,0.10997304500000382,-120.46222637,-120.45905587,0,Sn,*N*NH,0.10997304500000382
random1956568,379,-326.44907138,-326.24479947,-9.344499890000066,-9.21084221000001,0.10916025,0.0208475734325508,0.0128580250666666,0.2042719100000454,0.13365768000005573,-272.1223424,-272.13661141,0,Hf6CoBi2,*NO2NO2,0.13365768000005573
random2171030,170,-359.63756126,-359.53059408,-0.7324986249999483,-0.6132571050000024,0.13642407,0.004306180060914,0.0071585260416666,0.10696717999996963,0.11924151999994592,-329.20999755,-329.31094763,0,Ti2Cd,*NO3,0.11924151999994592
random1206231,597,-328.74678688,-328.78197525,-3.44034019999998,-3.258690970000032,0.21775043,0.0020872271301412,0.0064248820614035,-0.0351883700000144,0.18164922999994815,-266.50915875,-266.62300832,0,Sr20Pb16,*ONN(CH3)2,0.18164922999994815
random2483400,8,-284.7342807,-284.45874178,0.9353142999999592,1.0546882449999655,1.32007324,0.0329684603293393,0.0033162291666666,0.27553891999997404,0.11937394500000631,-266.02590015,-265.75441358,0,Al5Cu5,*N*NH,0.11937394500000631
random1188282,43,-570.56118044,-570.56902109,-2.995215949999988,-2.875201440000069,0.75684585,0.0140435276029348,0.0075725881410256,-0.007840649999934612,0.12001450999991903,-523.00486387,-523.0390471,0,Y2CoRu3,*OHNNCH3,0.12001450999991903
random912660,275,-825.1983536,-825.56283501,-0.8373189000000139,-0.7364245800000617,0.21122794,0.0072843933955136,0.0065515436419753,-0.3644814099999394,0.10089431999995213,-801.24007193,-801.57485771,0,Re,*NHNH,0.10089431999995213
random1676195,175,-569.62432258,-569.54920123,-3.241965710000045,-3.138562640000032,0.04778387,0.0119899055231289,0.0145068347916666,0.07512135000001763,0.10340307000001303,-507.58506894,-507.51036263,0,V3Fe,*ONN(CH3)2,0.10340307000001303
random751331,233,-698.29366642,-698.40699723,-3.4689120900000034,-3.359815239999989,0.23982461,0.0013674570078016,0.0091891129513888,-0.11333080999997946,0.10909685000001446,-650.26365371,-650.39240944,0,Al10Mo2,*OHNNCH3,0.10909685000001446
random1335779,78,-305.8611818,-305.90643489,2.3146770299999844,2.42369862999999,0.32246531,0.0321485853027626,0.003706819090909,-0.04525309000001698,0.10902160000000549,-284.80548136,-284.90593693,0,Nb9Rh9,*N*NO,0.10902160000000549
random567960,229,-382.72078416,-382.69914889,-0.9158939700000132,-0.8107222300000103,0.38035935,0.0043725615524559,0.0127906459689922,0.021635269999990214,0.10517174000000284,-337.24378957,-337.23365411,2,Co8Se8As8,*OHNNCH3,0.10517174000000284
random1765299,143,-596.87255134,-596.74937697,-3.7432825699999057,-3.5846496799998704,0.10721636,0.0043018677714186,0.0109044738297872,0.12317437000001519,0.15863289000003533,-534.33198084,-534.26445133,2,Cr10Si6C2,*ONN(CH3)2,0.15863289000003533
random475758,183,-265.62769827,-265.55287773,1.904691650000018,2.020396480000045,0.10640805,0.0049810805006946,0.0069496236073059,0.07482054000001881,0.11570483000002696,-244.16201245,-244.14907762,1,Rb16Ge16,*N*NO,0.11570483000002696
random2384069,191,-176.08666385,-175.72523078,3.3669518249999726,4.142283214999992,0.10220907,0.0119505489407158,0.0161946148888888,0.3614330700000039,0.7753313900000194,-149.75855059,-150.26112465,1,K3SnSb3,*NO3,0.7753313900000194
random586681,239,-498.48107911,-498.55402541,-2.999125939999999,-2.886342710000008,0.09411333,0.0133025293746501,0.0141024427272727,-0.07294630000001234,0.11278322999999091,-450.92085255,-451.01291015,1,Zr2Si2,*OHNNCH3,0.11278322999999091
random669163,302,-510.94302937,-510.98894004,-3.4930055500000208,-3.3835708550000163,0.1447995,0.0064536778018974,0.0095895325490196,-0.04591067000001203,0.10943469500000447,-480.60237843,-480.68863632,1,As4Ta2,*NONH,0.10943469500000447
random663222,13,-16.42966239,-16.47249953,3.2180000900000003,3.395416805,1.76296883,0.5883808159453897,0.1049593191666666,-0.04283713999999961,0.17741671499999967,-0.00396763,-0.10889989,0,Hg2,*N*NH,0.17741671499999967
random1942117,197,-786.04464927,-786.948693,-2.1978206900000714,-1.9256846950000863,0.32578657,0.0116239751176205,0.0390582761111111,-0.9040437300000121,0.2721359949999851,-751.64777134,-752.86682134,2,N8Ge6,*CHCHOH,0.2721359949999851
random1952902,59,-290.87093324,-290.92984676,-1.9810601799999856,-1.8157569799999465,0.55223028,0.0143560153900646,0.0162630643055555,-0.05891351999997596,0.16530320000003917,-230.09258513,-230.21381382,0,Sc2CdAg,*ONN(CH3)2,0.16530320000003917
random1776591,17,-354.09578654,-354.2016188,10.431539514999995,10.536842385,1.53376931,0.0169477091011188,0.014268325297619,-0.10583225999999968,0.10530287000000449,-342.03621151,-342.28978826,2,N8S16,*NO2,0.10530287000000449
random2214885,122,-446.57360494,-446.61876096,-2.869411489999948,-2.701018049999959,0.2217562,0.0116012960109498,0.0150154679166666,-0.04515601999997898,0.1683934399999889,-384.90690552,-385.01746695,2,S4K2Nb2,*ONN(CH3)2,0.1683934399999889
random2269890,37,-482.54913013,-482.54127747,-1.8059126900000133,-1.6909568599999716,1.03268575,0.0564678101299373,0.0146714089583333,0.007852659999969092,0.11495583000004173,-436.18211682,-436.19554806,1,Mn4Si4,*OHNNCH3,0.11495583000004173
random1768500,546,-290.5348719,-290.3357515,-2.993562529999963,-2.8786845700000185,0.13738619,0.0036013245526106,0.0052826604954954,0.19912039999996978,0.11487795999994432,-244.66103367,-244.65062727,2,K12In2P6,*COHCH2OH,0.11487795999994432
random459716,155,-420.20588497,-420.03373029,5.5954053499999645,5.770497389999946,0.3550002,0.0044714824535916,0.010031347,0.17215468000000556,0.17509203999998135,-380.81906123,-380.90688183,1,CaSi2Pd2,*NO2NO2,0.17509203999998135
random1547769,281,-249.59360049,-249.58728798,3.1823306999999943,3.327941304999996,0.14170114,0.0018242164320277,0.0143170141071428,0.00631250999998656,0.14561060500000167,-225.9282858,-225.99849642,2,Tl4Se6,*NONH,0.14561060500000167
random2072077,115,-830.98130109,-831.59359658,-2.780387379999979,-2.636458070000004,0.78162847,0.0268503603966166,0.0136983420430107,-0.612295490000065,0.143929309999975,-769.40362578,-770.05686255,2,W4N6,*ONN(CH3)2,0.143929309999975
random2097717,164,-555.00820173,-555.44455901,0.3059634549999828,0.410449134999908,0.13592771,0.0051406682714647,0.0046312674485596,-0.43635728000003837,0.1044856799999252,-532.82305064,-533.40633522,2,H2Cr,*NO2,0.1044856799999252
